2016/09/15 14:17:01,INFO  - ,=== This application works at 64 bits  ===
2016/09/15 14:17:01,INFO  - ,=== START-UP!  ===
2016/09/15 14:17:01,INFO  - ,=== USB-Key OK!  ===
2016/09/15 14:17:01,INFO  - ,=== USER LEVEL : Operator ===
2016/09/15 15:08:53,INFO  - ,MEASURE,first program,1,,55.89,0.00,NG,842,1378,171,150,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,105,0,0,False,False,False,False,,,
2016/09/15 15:08:53,INFO  - ,MEASURE,first program,2,,0.00,47.01,NG,1277,1726,56,49,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,105,0,0,False,False,False,False,,,
2016/09/15 15:08:53,INFO  - ,MEASURE,first program,3,,0.00,0.00,NG,1267,1420,28,35,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,105,0,0,False,False,False,False,,,
2016/09/15 15:08:53,INFO  - ,JUDGE,first program,10,NG,0,10,0,3,0.70,,
2016/09/15 15:09:04,INFO  - ,MEASURE,first program,1,,55.99,0.00,NG,842,1378,171,150,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,107,0,0,False,False,False,False,,,
2016/09/15 15:09:04,INFO  - ,MEASURE,first program,2,,0.00,47.30,NG,1277,1726,56,49,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,107,0,0,False,False,False,False,,,
2016/09/15 15:09:04,INFO  - ,MEASURE,first program,3,,0.00,0.00,NG,1267,1420,28,35,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,107,0,0,False,False,False,False,,,
2016/09/15 15:09:04,INFO  - ,JUDGE,first program,11,NG,0,11,0,3,0.63,,
2016/09/15 15:09:50,INFO  - ,MEASURE,first program,1,,55.79,0.00,NG,842,1378,171,150,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,99,0,0,False,False,False,False,,,
2016/09/15 15:09:50,INFO  - ,MEASURE,first program,2,,0.00,47.19,NG,1277,1726,56,49,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,99,0,0,False,False,False,False,,,
2016/09/15 15:09:50,INFO  - ,MEASURE,first program,3,,0.00,0.00,NG,1267,1420,28,35,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,99,0,0,False,False,False,False,,,
2016/09/15 15:09:50,INFO  - ,JUDGE,first program,12,NG,0,12,0,3,0.65,,
2016/09/15 15:09:52,INFO  - ,MEASURE,first program,1,,55.87,0.00,NG,842,1378,171,150,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,108,0,0,False,False,False,False,,,
2016/09/15 15:09:52,INFO  - ,MEASURE,first program,2,,0.00,47.27,NG,1277,1726,56,49,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,108,0,0,False,False,False,False,,,
2016/09/15 15:09:52,INFO  - ,MEASURE,first program,3,,0.00,0.00,NG,1267,1420,28,35,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,108,0,0,False,False,False,False,,,
2016/09/15 15:09:52,INFO  - ,JUDGE,first program,13,NG,0,13,0,3,0.66,,
2016/09/15 15:10:14,INFO  - ,MEASURE,first program,1,,55.97,0.00,NG,842,1378,171,150,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,94,0,0,False,False,False,False,,,
2016/09/15 15:10:14,INFO  - ,MEASURE,first program,2,,0.00,47.12,NG,1277,1726,56,49,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,94,0,0,False,False,False,False,,,
2016/09/15 15:10:14,INFO  - ,MEASURE,first program,3,,0.00,0.00,NG,1267,1420,28,35,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,94,0,0,False,False,False,False,,,
2016/09/15 15:10:14,INFO  - ,JUDGE,first program,1,NG,0,1,0,3,0.60,,
2016/09/15 15:10:17,INFO  - ,MEASURE,first program,1,,55.87,0.00,NG,842,1378,171,150,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,102,0,0,False,False,False,False,,,
2016/09/15 15:10:17,INFO  - ,MEASURE,first program,2,,0.00,47.12,NG,1277,1726,56,49,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,102,0,0,False,False,False,False,,,
2016/09/15 15:10:17,INFO  - ,MEASURE,first program,3,,0.00,0.00,NG,1267,1420,28,35,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,102,0,0,False,False,False,False,,,
2016/09/15 15:10:17,INFO  - ,JUDGE,first program,2,NG,0,2,0,3,0.63,,
2016/09/15 15:10:18,INFO  - ,MEASURE,first program,1,,55.89,0.00,NG,842,1378,171,150,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,101,0,0,False,False,False,False,,,
2016/09/15 15:10:18,INFO  - ,MEASURE,first program,2,,0.00,47.05,NG,1277,1726,56,49,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,101,0,0,False,False,False,False,,,
2016/09/15 15:10:18,INFO  - ,MEASURE,first program,3,,0.00,0.00,NG,1267,1420,28,35,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,101,0,0,False,False,False,False,,,
2016/09/15 15:10:18,INFO  - ,JUDGE,first program,3,NG,0,3,0,3,0.65,,
2016/09/15 15:10:20,INFO  - ,MEASURE,first program,1,,55.71,0.00,NG,842,1378,171,150,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,105,0,0,False,False,False,False,,,
2016/09/15 15:10:20,INFO  - ,MEASURE,first program,2,,0.00,47.05,NG,1277,1726,56,49,25,25,1,0.2,1,1,1,1,3,20,1,4,1,0,55,55,55,55,150,200000,92,200,125,105,0,0,False,False,False,False,,,
